Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0362815208782069,-0.00305526336798289,-0.000126521740145622,0,0,0,0.100729267699622,3.4902559468521E-05,3.96108132401248E-06,3.90580885663322E-06,8.05745954287177E-05,-1.48906206110741E-06,5.43169882491714E-05,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/base_link.STL,,plam_left-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
CMC_joint,0.00771280035472914,-0.00202188987758286,0.00202035726169397,0,0,0,0.00125815886507591,3.83821369264559E-08,3.28880830342143E-09,-1.0096366741834E-08,6.90654218569032E-08,4.89903077152849E-09,6.44064252041759E-08,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/CMC_joint.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/CMC_joint.STL,,CMC_thumb_linkage-1,thumb_based,thumb_axis_0,F1J1,revolute,0.028712,0.0085244,-0.020575,1.5708,0.89647,1.2039,base_link,0,0.090031,-0.99594,10000,10000,-1.83,0.52,,,,,,,,
CMC_2rd,0.0134227843587859,-0.00293695006906855,-0.0066136566216464,0,0,0,0.00526832309670019,1.98050588059674E-07,-2.05321303906682E-09,1.3634716164521E-07,5.57537669280275E-07,5.1049690269548E-09,4.9078792338695E-07,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/CMC_2rd.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/CMC_2rd.STL,,worm_gear_IP_1_3-1,Origin_thumb_joint_0,thumb_axis_1,F1J2,revolute,0.0156801041480007,-0.00266138390252596,0.00541134550383846,0.00909459878463471,-0.660505072285366,-0.556810887711753,CMC_joint,0,-1,0,10000,10000,-0.52,1.83,,,,,,,,
MCP_thumb,0.012784040671115,-0.00137015992859594,1.61315218326942E-05,0,0,0,0.00451783539729189,1.22995967486248E-07,-9.44472915785571E-10,3.59348384900288E-10,3.89453067833898E-07,-1.8018016259836E-11,3.80195847856636E-07,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/MCP_thumb.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/MCP_thumb.STL,,UJ.WJ.AA.0005-1,Origin_thumb_joint_1,thumb_axis_2,F1J3,revolute,0.0307049994928983,-0.00195849650384492,-0.0125392357745206,0.338193019740776,0.327653658937842,7.00736436970164E-05,CMC_2rd,0,0,1,10000,10000,-0.52,1.83,,,,,,,,
IP_thumb,0.00873337128119034,-0.00118432449167151,-0.000236666773561878,0,0,0,0.0032445920385937,8.4530787773776E-08,-2.22176257496944E-09,3.79594409890328E-10,1.53933453096968E-07,-5.37818856246564E-11,1.57557362953359E-07,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/IP_thumb.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/IP_thumb.STL,,IP_thumb-1,Origin_thumb_joint_2,thumb_axis_3,F1J4,revolute,0.0289946553564472,-0.000556723643987275,0.000250000742295495,0,0,-0.0191986217719388,MCP_thumb,0,0,1,10000,10000,-0.52,1.83,,,,,,,,
fingertip_thumb,-0.00660492594545073,-0.000291631263215519,-7.94781276167167E-06,0,0,0,0.00148518348317791,3.70404843529793E-08,1.46330198216046E-09,-1.283566783338E-12,2.95488459076666E-08,-1.95685541571452E-13,2.91781657468038E-08,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/fingertip_thumb.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/fingertip_thumb.STL,,fingertip_thumb-1,Origin_thumb_fingertip_fixed,Axis_thumb_fingertip_fixed,thumb_fingertip_fixed,fixed,0.0292999997200636,-0.0010500018784308,-0.00025000011216555,0,0,0,IP_thumb,0,0,0,,,,,,,,,,,,
MCP_joint_index,0.000320024323269191,-0.00132924326308777,3.05219430667136E-08,0,0,0,0.000379021582234346,9.06820086814754E-09,-2.97884399301505E-09,-5.56403391714656E-14,9.76743833722641E-09,-3.4224766046932E-14,8.49893777249095E-09,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/MCP_joint_index.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/MCP_joint_index.STL,,MCP_joint_index-1,index_based,index_axis_0,F2J1,revolute,0.091917,-0.0058701,-0.029434,0.21936,0.12347,-0.045393,base_link,0,0,-1,10000,10000,-1.83,0.52,,,,,,,,
PIPMCP_2rd_index,0.0174056341192974,-0.00607488621296758,7.02776518017936E-06,0,0,0,0.0065798714493092,1.74652029779334E-07,-3.15692899359248E-08,-2.88427889362968E-10,9.45057757859522E-07,-1.65971648002229E-11,9.50285944543775E-07,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/PIPMCP_2rd_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/PIPMCP_2rd_index.STL,,worm_gear_IP-1,Origin_index_joint_0,index_axis_1,F2J2,revolute,0.00400000572579264,0.00220000016530783,0,0,0,0,MCP_joint_index,0,1,0,10000,10000,-0.52,0.52,,,,,,,,
DIP_index,0.0155093876252296,-0.00112279149412702,4.73871087898828E-06,0,0,0,0.00450885571504308,1.2297817422711E-07,9.51788585338055E-09,3.42331455507894E-10,3.97109387856124E-07,-5.9649474143192E-12,3.87914753042892E-07,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/DIP_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/DIP_index.STL,,worm_gear_IP_1-1,Origin_index_joint_1,index_axis_2,F2J3,revolute,0.0366176824738117,-0.00460000000550348,1.55808514895779E-05,0,-0.000433200557107903,0,PIPMCP_2rd_index,0,0,1,10000,10000,-0.52,1.83,,,,,,,,
tipmount_index,0.00535172173910373,-0.000894361980526524,1.709274354093E-05,0,0,0,0.00137453206176538,4.05616482028119E-08,1.59320650995783E-09,8.5335049239463E-11,4.97884092426478E-08,8.75917720638794E-12,3.51131324465948E-08,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/tipmount_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_left_hands_tips/meshes/tipmount_index.STL,,tipmount_index-1,Origin_index_joint_2,index_axis_3,F2J4,revolute,0.0290000000150085,0,0,-0.000268594994179294,0,0,DIP_index,0,0,1,10000,10000,-0.52,1.83,,,,,,,,
